,title,company,place,industries,job_function,seniority_level,description
0,POWER BI / BACK END ENGINEER / DATA SCIENTIST,PTDEV Construct-X Global,Vietnam,,,,"['Hot Job-Remote Working & Flexibility, Why Not?!  ""Team Work, Good Environment, Happiness & Love Energy""- Our Slogan.        Nowadays, Remote Working is very popular method in this modern stage, especially in Tech Faculty. Our Company is respectfully to All of Members\' Contribution and Effort. Kindly, we are aiming to the happy life for members who bring the best Tech-Edge products to human. Our responsibility is to build up the love and comfort to reach out the beautiful life in constructions and all of fields. Please become one of our member, we make sure you will be the best, be treated & appreciated very well and will feel our devotion from the bottom heart. Please don\'t miss out this chance, our Beloved Candidates.!!!!        Pls email to: Ms Jolie Ng-Head of HR Dept:  E1: duong@ptdev-vietnam.com  E2: duong@construct-x.com  W1: https://construct-x.com  W2: https://workpacks.com     Our Construct-X-PTDev Technology Development Global Company is always welcoming the potential positions as the following:           1) Back End Engineer:           Skill set require:  · Node.js Sail.js  · Nestjs is a plus  · AutoDesk Forge API is a plus  · PostgreSQL, Elastic, Redis, Memcache, RESTful API  · RabbitMQ  or  · Flask RESTFul API, Python  · Java, Apache Spark.              2) Data Scientist:     Skill set require:  · Apache Spark, Scala, PySpark, Python, Javascript, Java.  · Hadoop, Hive, Big Data, Pandas.     3) POWER BI-DATA ENGINEER:     Skill set require:  · PowerBI, PowerQuery  · MSSQL, Postgres  · Excel VBA, Formulas           Common Requirements:        Qualifications:  · Language: Vietnamese, English (Fluently).  · 3+ years\' of experience.        Benefits:  · Team Building. (Party, Cinema,...together in the Team)  · Company Trip.  · Other Bonus & 13th Month Salary & Appraisal basing on the good Effort.  · Chance to be promoted quickly.  · Good Salary.  · Team work & Career Pathway Advance Improvement & Be treated very well & respectfully.  Show more Show less']"
1,Machine Learning Engineer (Mid/ Senior),MoMo (M_Service),Hanoi Capital Region,"IT Services and IT Consulting, Software Development, and Financial Services",Information Technology,Mid-Senior level,"[""Work Address:  MoMo - Hanoi: Mecury Tower, 444 Hoang Hoa Tham Street, Thuy Khue Ward, Tay Ho District, Ha Noi. MoMo - Ho Chi Minh City: Phu My Hung Tower, Hoang Van Thai Street, Tan Phu Ward, 7 District, HCMC.  Description  Work with Data Scientists to build Machine Learning systems using your engineering experience. As an example, suppose that we want to build a fraud detection system, you will take care of building the services necessary for retrieving user history, transforming data, applying machine learning models and connecting to other services for appropriate actions. In some situations, you can build the whole Machine Learning application from end to end; Design and build data pipelines that serve Machine Learning models; Provide a platform that is super easy for Data Scientists to explore new features, build models and conduct A/B tests; Build framework for monitoring Machine Learning systems. Other assignments from line manager.    Requirement  Have 2+ years of industry experience in software engineering; Have strong engineering skills; Experience in building high-performing systems; Have basic understanding of Machine Learning models and their applications is a plus. This will help you communicate with Data Scientists easier. If you are an expert in Machine Learning and interested in a full-stack position, we are excited to talk with you as well; Strong product ownership (You take a high responsibility for what you build. You keep a high bar for product quality); Strong collaboration skills.     Our benefits:  Attractive compensation & benefits; 13th month salary bonus and yearly performance bonus; 14 paid days off per year; Premium health care insurance; Great allowances (lunch, parking, birthday, happy hours....); Salary review at least one time per year based on employee's performance and contribution; Outing/team-building activities (company trip , soccer sport, english club, running club,..); Other benefits as per stated in Vietnamese Labor Law; Work with experienced & strong team; Friendly, dynamic & flexible working environments.  Show more Show less""]"
2,Machine Learning Engineer,Ruangguru,Vietnam,Education Administration Programs,Engineering and Information Technology,Entry level,"['Ruangguru is a tech-enabled education company that provides a one-stop learning experience for students to have better access to quality content and service. Ruangguru has allowed students to access better quality educational content in the form of learning videos, question banks, test-prep materials, and study notes. Ruangguru platform has been proven to not only help families reduce the cost for education, but also elevate student outcomes.  Kienguru (https://www.kienguru.vn/) is the sister company in Vietnam of Ruangguru, the Indonesian edtech unicorn (https://www.crunchbase.com/organization/ruangguru). We are building the best self-learning platform for Vietnamese students that encompasses pre-recorded lessons, live classes, and QnA services. Our Kiến Robo product uses big data to provide homework solutions to K-12 students. We are looking for an ML / Data Engineer to help drive the development of this feature.  Qualifications:  1+ year experience in data (data science or machine learning engineer) Solid understanding of machine learning techniques and algorithms Ability to experiment, develop and productionize machine learning/data science solutions. Experience with data pipeline tooling such as scheduler (Azkaban, Airflow, etc.) and batch processing (Spark, etc.) is a plus Fluency in Python, SQL, with some experience in version control. Know how to work together in an agile environment, team player and collaborator, have strong initiatives. Uphold high code quality and test, educate data science with the same code quality. Familiarity with GCP or other clouds is a plus. Expertise in text-vision or NLP is a plus.   Responsibilities  Implement, improve and deploy machine learning models into easy-to-use webapps or robust and scalable microservices with the help of tooling provided by the engineering team. Building a maintainable ETL pipeline using SQL and scripts to support batch and real-time jobs for machine learning/data science use case. Experiment and propose actions to improve accuracy and relevancy of the homework solutions Monitor and check accuracy Go through fail examples and come up with improvement plans, that can range from OCR pre & post processing, query fixing in elastic search, or working on question classifications etc… Looking at operation processes and devise improvements that can help with data quality Actively communicate with stakeholders when issues happen, and manage stakeholder expectations. Work with others to develop tools, frameworks, and automation necessary to ease implementation. Show more Show less']"
3,Machine Learning Engineer,Ruangguru,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",Education Administration Programs,Engineering and Information Technology,Entry level,"['Kienguru (https://www.kienguru.vn/) is the sister company in Vietnam of Ruangguru, the Indonesian edtech unicorn (https://www.crunchbase.com/organization/ruangguru). We are building the best self-learning platform for Vietnamese students that encompasses pre-recorded lessons, live classes, and QnA services. Our Kiến Robo product uses big data to provide homework solutions to K-12 students. We are looking for an ML / Data Engineer to help drive the development of this feature.  Qualifications  1+ year experience in data (data science or machine learning engineer) Solid understanding of machine learning techniques and algorithms Ability to experiment, develop and productionize machine learning/data science solutions. Experience with data pipeline tooling such as scheduler (Azkaban, Airflow, etc.) and batch processing (Spark, etc.) is a plus Fluency in Python, SQL, with some experience in version control. Know how to work together in an agile environment, team player and collaborator, have strong initiatives. Uphold high code quality and test, educate data science with the same code quality. Familiarity with GCP or other clouds is a plus. Expertise in text-vision or NLP is a plus.  Responsibilities  Implement, improve and deploy machine learning models into easy-to-use webapps or robust and scalable microservices with the help of tooling provided by the engineering team. Building a maintainable ETL pipeline using SQL and scripts to support batch and real-time jobs for machine learning/data science use case. Experiment and propose actions to improve accuracy and relevancy of the homework solutions Monitor and check accuracy Go through fail examples and come up with improvement plans, that can range from OCR pre & post processing, query fixing in elastic search, or working on question classifications etc… Looking at operation processes and devise improvements that can help with data quality Actively communicate with stakeholders when issues happen, and manage stakeholder expectations. Work with others to develop tools, frameworks, and automation necessary to ease implementation. Show more Show less']"
4,Data Scientist,Cốc Cốc,"Hanoi, Hanoi, Vietnam",,,,"['We are looking for a\xa0Data Scientist\xa0to join BI department with strong knowledge and experience in Analytics and Computer Science. The ideal candidate is adept at using\xa0state-of-art machine learning and data mining techniques, statistical analysis, and building high-quality prediction systems integrated with our products.\xa0  \xa0  Furthermore, You will help us discover the information hidden in vast amounts of data, and make more intelligent decisions to deliver even better products. Our product’s growth with the scale of data creates a big opportunity and challenge for you to innovate using next generation technologies ( AI and Machine learning). Last but not least, you will work with our best data engineering, data analysis to support you for your career building path.  \xa0  JOB DESCRIPTION  \xa0  Exploratory data analysis:  Collect and analyze data from our products, services, market, and our advertising system.  Prepare reports that interpret our user behaviors, marketing trending, and product features.  Utilize Analytic tools and implement scripts to test your proposal hypothesis     Apply statistical and machine learning model to our CocCoc Product (Ad Department and Web Search Department):  Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.  Implement appropriate Machine Learning algorithms and turn them into microservices in our production environments.\xa0  Research the optimization solution for Ad Network:\xa0     Research the ad allocation and ad matching over the AdNetwork.\xa0  Perform analysis and design the hypothesis to optimize AdNetworks user experiences, revenue generation, ad targeting and other business outcomes     JOB REQUIREMENTS     Required skills:  2-5 years working experience preferably as a Data Scientist or similar role in an IT company, University or Research Institute.  Highly analytical with a heavy emphasis on data mining and data visualization (Problem formulation, Analytical ability, Synthesis).  Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.  Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.  Experience with common data machine learning framework (tensorflow, scikit-learn, NLP, etc).  Strong communication skills (good English communication skills is a plus).  BSc in Computer Science, Mathematics or similar field; Master’s degree is a plus.  \xa0  Nice-to-have skills:  Knowledge or experience working on projects in:  Advertisement & AdNetwork, Online Marketing.\xa0  Computer Science (NLP, Machine Learning).     HIRING PROCESS:  Phone Screening > Home Assignment > Onsite Interviews > Offering  Show more Show less']"
5,Machine Learning Engineer,Cialfo,Vietnam,Software Development,Engineering and Information Technology,Entry level,"[""Cialfo is a leading platform connecting students, higher education institutions and counselors through technology driven solutions. Launched in 2017 with a mission to make education accessible to 100 million students, Cialfo provides a range of mobile and web solutions to students, K-12 institutions and higher education institutions. We’re one of the fastest-growing edtech startups in the region, consistently charting new heights!  Bridge the collaboration between distinct teams by bringing your holistic view and leadership to the table. You are instrumental in bringing our mission to life by being a tactical problem-solver, establishing ambitious pipelines to construct dynamic products and strategizing against competing forces.  Job Description  We are looking for a highly capable machine learning engineer to optimize our machine learning systems. You will be evaluating existing machine learning (ML) processes, performing statistical analysis to resolve data set problems, and enhancing the accuracy of our AI models on recommendations and predictive analytics, which will help enhance the user experience and enable our business teams to make data-driven decisions  To ensure success as a machine learning engineer, you should demonstrate solid data science knowledge and experience in a related ML role. A first-class machine learning engineer will be someone whose expertise translates into the enhanced performance of our AI models and help us iterate and deploy the models faster and at scale. This role requires one to be hands-on and would involve some interactions with the product and engineering teams and occasionally with the business. We are expecting to scale 10x in the coming year and 100x by end of 2024 hence, this role requires one to be comfortable with the challenges that come with scaling.  Responsibilities  In the First Month, You Will  Talk to individual stakeholders and get an understanding of their pain points and interactions with the DS team Get an understanding of our infrastructure and roadmap Work with one of our ML engineers on a project to get an end to end understanding of our approach to model development     In the Next Three Months, You Will  Take ownership of one of our machine learning projects Create the end to end machine learning workflow for the project at hand, including the ingestion pipeline, feature engineering, model development, training, testing, serving, and monitoring Document the entire approach Collaborate with managers to determine and refine machine learning objectives.     In the Next one Year, You Will  Suggest improvements in our ML workflow Work on developing a framework for faster ML development Create an A/B testing platform Design a feature store to include online and offline features Use cutting edge models on NLP, RL to develop user recommendations Help us develop DS as a CoE   Requirements  Must Have  Bachelor's degree in computer science, data science, mathematics, or a related field. At least two years of experience as a machine learning engineer or data scientist At least 5 years of experience in python programming At least 5 years of experience in database and SQL Superb analytical and problem-solving abilities.   Should Have  Understanding of CI/CD pipeline (Jenkins, Gitlab, Github etc) Familiarity with Sklearn, Tensorflow, Keras, or Pytorch Understanding of data warehouse and data lake Great communication and collaboration skills.   Good To Have  Master’s degree in data analytics, recommender systems, or similar Understanding of AWS ecosystem (MWAA, Redshift, Athena, S3, Glue, etc) Exposure to spark/pyspark Excellent time management and organizational abilities.   LI-Remote  Benefits  Exact benefits vary depending on your location. That said, all full-time Cialfo employees receive the following benefits:  Paid Annual and Medical leaves Flexible working environment Medical Health Insurance and more... Show more Show less""]"
6,Data Scientist (Machine Learning),Siêu Việt Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam ",Human Resources Services,Information Technology,Associate,"[""Sieu Viet is one of the leaders of online recruitment platforms in Vietnam. We own popular sites such as ViecLam24h, TimViecNhanh, ViecTotNhat and MyWork. We’ve just started on our journey of transforming the entire organization, from products to culture. We are growing rapidly with a mission to become a companion to both job seekers and employers on their journeys, and to equip them with best-in-class tools that help them along the way.  Responsibilities Collecting, cleaning, preparing data at large scale for modeling. Designing, conducting A/B tests and analyzing the results for experiment insights. Analyzing and improving existing data sources and metrics. Participating in productionizing Machine Learning models for production and business. Building pipelines for continuously validating and updating models. Coaching and providing support for other junior members.   Requirements  Good understanding of mathematical foundations of Machine Learning algorithms. Have practical experience in applying Machine Learning in Natural Language Processing (NLP), personalization, knowledge graph, ontology, or user behavior analysis. Strong research experience in the fields listed above. Strong data product ownership. You take high responsibility for what you build. You keep a high bar for product quality. Great scripting and programming skills (fluent in Python, SQL) Great collaboration skills. You are an active listener and willing to help other team members. Experience with personalization or knowledge graph or recommendation models is a plus. Master and PhD is a plus but not required   Who We Are Looking For  “Attitude is more important than aptitude”: we greatly value people who possess the 3 personal traits:  Growth mindset Curiosity Automation   Benefits  Working environment:  Flexible working hours (Mon - Fri only), 15-day leaves/ year (12 Annual, 3 sick leaves). Flat, open, fast-paced working environment with the best support from stakeholders. Challenging working environment where every new idea is welcomed.   Benefits:  Attractive remuneration package (salary, allowance - lunch, parking, telephone, etc.). Fully compliant with Social Insurance (health, social, and unemployment). Extra Accident Insurance for all employees, Premium Health Care Insurance for Manager and above level. 13th-month policy, Incentives, Bonus - subject to company performance. Performance & Salary review twice per year. “Bonding Policy” – for team engagement. Company's congrats gifts on birthday, Wedding Day, Children's Day, Woman's Day, Independent Day, Company's birthday, and other special occasions. Annual Health Checkup (once per year). Variety of corporate events, from sports competitions, monthly birthday parties, team building to Year-End Party etc.   Why you should join us:  The opportunity to work in 2nd player in the HR Tech Market with huge ambition and mission in the labor market. A great chance to impact millions of Vietnamese life through job opportunities and more. Passionate & talented colleagues. Show more Show less""]"
7,Data Engineer,Joon Solutions,Vietnam,,,,"['We are looking for a candidate with 1+ years of experience in a Data Engineer role. Having a degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field is a plus. They should also have experience using some of the following software/tools/platforms: Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc. Experience with big data tools: Hadoop, Spark, Kafka, etc. Experience with relational SQL and NoSQL databases, including Postgres and Cassandra. Experience with data pipeline and workflow management tools: Azkaban, Luigi, Airflow, etc. Experience with AWS/GCP/Azure cloud services. Experience with stream-processing systems: Storm, Spark-Streaming, etc. Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases. Experience building and optimizing ‘big data’ data pipelines, architectures, and data sets. Able to understand various data structures and common methods in data transformation Build processes supporting data transformation, data structures, metadata, dependency, and workload management. A successful history of manipulating, processing, and extracting value from large disconnected datasets. Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores. Show more Show less']"
8,Fresher Python Software Engineer,"KMS Technology, Inc.","Ho Chi Minh City, Ho Chi Minh City, Vietnam",Software Development,Engineering,Entry level,"[""The Brilliant Career You Love    Are you\xa0passionate about innovative software development and be eager to sharpen your expertise every day?    Do you want to be a part of the Great Team who creates awesome billion-dollar Software Products for U.S clients?    Do you love to work in a\xa0top-notch IT\xa0Company\xa0in Vietnam with Good Investment into People Development?    If yes, we strongly believe that you will enjoy each single working day at KMS Technology\xa0where you certainly contribute to the company's growth and sharpen your experience and expertise every day. In addition, you will also get chances to:    Have the chance to\xa0work with talented developers, following high standard software development practices and CI/CD\xa0processes Be trained and worked on complex systems using cutting-edge technology-based frameworks  Your key responsibilities:    Love Coding Follow Your Passion Enjoy Every Single Working Day with Your Nice Colleagues and Our Kind Clients. Take Your Skill to the Next Level  The responsibility includes:    Participate in all software development activities Clarify requirements with client/team\xa0 Write high-quality code to implement software features or fix bugs and implement Unit Test Report the status to client/team\xa0   Qualifications    Skills/experience You need to be Successful    Final year student/ new graduate/ less than 1 year of experience\xa0 Ready to work full-time officially Good IT background, special on database, Python Good critical and logical thinking skills Commitment to excellence and self-improvement\xa0 Must be good and comfortable with speaking and writing using English  Nice to have:    Passion in Web-development. Good knowledge of relational databases such as Microsoft SQL Server, MySQL, etc. Good knowledge of Django, Flask, Fast API   Additional Information    BE YOUR BEST WITH KMS    Working in one of the Best Places to Work in Vietnam Building large-scale & global software products Working & growing with Passionate & Talented Team Diverse careers opportunities with Software Outsourcing, Software Product Development, IT Solutions & Consulting Attractive Salary and Benefits Performance appraisals every year Onsite opportunities: short-term and long-term assignments in North American (U.S, Canada), Europe, Asia. Flexible working time Various training on hot-trend technologies, best practices, and soft skills Premium healthcare insurance for you and your loved ones Company trip, big annual year-end party every year, team building, etc. Fitness & sports activities: football, tennis, table-tennis, badminton, yoga, etc Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,… Free in-house entertainment facilities (foosball, ping pong, gym, etc), coffee (latte, cappuccino, espresso) and snack (instant noodles, cookies, candies, etc)  And much more...Send\xa0your\xa0Resume including Academic Transcript\xa0 to join us and explore other fantastic things!    Show more Show less""]"
9,Data Engineer,POC Pharma,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",Pharmaceutical Manufacturing,Engineering,Mid-Senior level,"['About Us  POC Pharma is a startup that digitizes the pharmaceutical industry in emerging markets and helps pharmaceutical companies leverage data to grow their sales. Come join the coolest team and contribute to an exciting and fast-moving industry, using the best technologies!  Responsibilities  Be a subject matter expert in analyzing and presenting data that provides important insights into customers behaviors and usage patterns Work with both developers and business stakeholders from diverse teams to understand business needs and determine optimal solutions while constantly evaluating the risks & dependencies Write and maintain sophisticated SQL queries to meet complex needs Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc. Create processes to quickly test the accuracy of the generated datasets & reports Communicate regularly and directly with stakeholders and executive sponsors Develop business requirements documentation, process workflow diagrams, functional specifications, user acceptance test scripts and other supporting documentation for BI initiatives   Requirements  3+ years of experience in a Data Engineer role, who has attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field Experience with relational SQL and NoSQL databases, including MSSQL, with strong experience in building sophisticated SQL queries Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc. or other technologies (e.g.: matching algorithm, Analytics Framework, etc.) Knowledge of business process management best practices & business intelligence concepts Ability to dive into technical details and design analytics solutions to meet business needs Experience with (one or more) BI/reporting tools and data storage platforms Experience with handling multiple projects in an open environment Exceptional verbal, written communication and presentation skills Experience in supporting and working with cross-functional teams in a dynamic environment.   Benefits  Private Health Insurance Paid Time Off Training & Development Performance Bonus Show more Show less']"
